FRANCHISE_ID,ID,NAME,AREA,BUILDING,PHONE,CUISINE_DESCRIPTION,PHONE_AREA_CODE,FRANCHISE_LOCATION_COUNT,IS_FRANCHISE
CHICK-FIL-A_23_50098072,50098072,CHICK-FIL-A,RICHMOND HILL,166,9178100455,Chicken,917,23,True
CHICK-FIL-A_23_50103863,50103863,CHICK-FIL-A,SCARBOROUGH,2655,9293435064,Chicken,929,23,True
CHICK-FIL-A_23_50105216,50105216,CHICK-FIL-A,TORONTO,1180,2129441903,Chicken,212,23,True
CHICK-FIL-A_23_50106442,50106442,CHICK-FIL-A,TORONTO,675,7185046528,Chicken,718,23,True
CHICK-FIL-A_23_50108061,50108061,CHICK-FIL-A,ETOBICOKE,40-27,2035240086,Chicken,203,23,True
CHICK-FIL-A_23_50108065,50108065,CHICK-FIL-A,TORONTO,1536,2124107500,Chicken,212,23,True
CHICK-FIL-A_23_50119540,50119540,CHICK-FIL-A,TORONTO,601,5164080761,Other,516,23,True
CHICK-FIL-A_23_50124825,50124825,CHICK-FIL-A,ETOBICOKE,249-23,2035178156,American,203,23,True
CHICK-FIL-A_23_50127531,50127531,CHICK-FIL-A,TORONTO,461,6096029118,Sandwiches,609,23,True
CHICK-FIL-A_23_50129635,50129635,CHICK-FIL-A,TORONTO,216,6463105144,Sandwiches,646,23,True
CHICK-FIL-A_23_50143999,50143999,CHICK-FIL-A,NORTH YORK,76,2032530542,Chicken,203,23,True
CHICK-FIL-A_23_50147862,50147862,CHICK-FIL-A,TORONTO,1532,3475860488,American,347,23,True
CHICK-FIL-A_23_50149402,50149402,CHICK-FIL-A,NORTH YORK,201,3472223811,American,347,23,True
CHICK-FIL-A_23_50161810,50161810,CHICK-FIL-A,RICHMOND HILL,809,9178100455,Chicken,917,23,True
CHICK-FIL-A_23_50164753,50164753,CHICK-FIL-A,TORONTO,795,3478604015,Other,347,23,True
CHICK-FIL-A_23_50170574,50170574,CHICK-FIL-A,ETOBICOKE,32-67,2035240086,Chicken,203,23,True
CHICK-FIL-A_23_50172722,50172722,CHICK-FIL-A,TORONTO,50,5163987636,Chicken,516,23,True
CHICK-FIL-A_23_50174106,50174106,CHICK-FIL-A,ETOBICOKE,90-15,7182711755,Chicken,718,23,True
CHICK-FIL-A_23_50174141,50174141,CHICK-FIL-A,RICHMOND HILL,31,9736804580,,973,23,True
CHICK-FILL-A_1_50128308,50128308,CHICK-FILL-A,TORONTO,219,2125645045,Chicken,212,1,False
CHICK-N-RICE_1_50088976,50088976,CHICK-N-RICE,ETOBICOKE,271-19,9173878585,Middle Eastern,917,1,False
CHICKEN & FRIES_1_50044616,50044616,CHICKEN & FRIES,TORONTO,4,2124656307,Chicken,212,1,False
CHICKEN AND PIZZA FABENE INC._1_50166523,50166523,CHICKEN AND PIZZA FABENE INC.,NORTH YORK,2197,3475959220,,347,1,False
CHICKEN AT LAST_1_50176158,50176158,CHICKEN AT LAST,ETOBICOKE,30-23,6464075650,,646,1,False
CHICKEN BOX_1_50149596,50149596,CHICKEN BOX,ETOBICOKE,201-03,7182852923,Fusion,718,1,False
CHICKEN FEASTIN_3_50112140,50112140,CHICKEN FEASTIN,RICHMOND HILL,561,7186769992,Chicken,718,3,True
CHICKEN FEASTIN_3_50119827,50119827,CHICKEN FEASTIN,RICHMOND HILL,450,7187444349,American,718,3,True
CHICKEN FEASTIN_3_50168016,50168016,CHICKEN FEASTIN,TORONTO,932,2395958757,Chicken,239,3,True
CHICKEN FESTIVAL_1_40711301,40711301,CHICKEN FESTIVAL,ETOBICOKE,29-19,7187289696,Peruvian,718,1,False
CHICKEN HOT POT_1_50091666,50091666,CHICKEN HOT POT,ETOBICOKE,41-81,3476446767,Chinese,347,1,False
CHICKEN INSIDER_1_50101388,50101388,CHICKEN INSIDER,TORONTO,1752,6468089652,Chicken,646,1,False
CHICKEN IS BACK_1_50156680,50156680,CHICKEN IS BACK,ETOBICOKE,254-22,4695441234,Chicken,469,1,False
CHICKEN KOOP_1_50148574,50148574,CHICKEN KOOP,RICHMOND HILL,188,6463308283,Chicken,646,1,False
CHICKEN RANCH_2_50013062,50013062,CHICKEN RANCH,TORONTO,315,6469228564,Chicken,646,2,True
CHICKEN RANCH_2_50137899,50137899,CHICKEN RANCH,TORONTO,56,7189152462,Chicken,718,2,True
CHICKEN RICE_1_50111612,50111612,CHICKEN RICE,TORONTO,120,6464550877,Chicken,646,1,False
CHICKEN SHACK_2_50084413,50084413,CHICKEN SHACK,ETOBICOKE,95-05,7186852290,Chicken,718,2,True
CHICKEN SHACK_2_50088430,50088430,CHICKEN SHACK,NORTH YORK,4011,9297779190,Chicken,929,2,True
CHICKEN SPOT_1_50139067,50139067,CHICKEN SPOT,NORTH YORK,495,3476040506,American,347,1,False
CHICKEN STOP_2_50109196,50109196,CHICKEN STOP,RICHMOND HILL,110,9179091599,Chicken,917,2,True
CHICKEN STOP_2_50134465,50134465,CHICKEN STOP,RICHMOND HILL,1274,9176097474,Chicken,917,2,True
"CHICKEN, FRIES CONCESSION_2_50044592",50044592,"CHICKEN, FRIES CONCESSION",TORONTO,4,2124656273,Chicken,212,2,True
"CHICKEN, FRIES CONCESSION_2_50044791",50044791,"CHICKEN, FRIES CONCESSION",TORONTO,4,2124656273,Chicken,212,2,True
CHICKEN/FRIES CONCESSION_1_50171444,50171444,CHICKEN/FRIES CONCESSION,TORONTO,4,2124656000,,212,1,False
CHICKENOW_1_50090415,50090415,CHICKENOW,NORTH YORK,200,3472231913,Chicken,347,1,False
CHICKN ROTONDA_1_50107563,50107563,CHICKN ROTONDA,ETOBICOKE,64-58,9294132645,Filipino,929,1,False
CHICKPEA_1_41570719,41570719,CHICKPEA,TORONTO,,2122440101,American,212,1,False
CHICKY'S BX INC_1_50138917,50138917,CHICKY'S BX INC,NORTH YORK,2368,5164265717,,516,1,False
CHICKY'S_1_50101984,50101984,CHICKY'S,ETOBICOKE,248-43,7183473300,Chicken,718,1,False
CHICTEA_1_50154210,50154210,CHICTEA,RICHMOND HILL,7604,7183335557,Asian/Asian Fusion,718,1,False
CHIDDY'S CHEESESTEAKS_1_50145894,50145894,CHIDDY'S CHEESESTEAKS,ETOBICOKE,37-03,6469325020,American,646,1,False
CHIEF BEEF NOODLES_1_50161533,50161533,CHIEF BEEF NOODLES,ETOBICOKE,135-03A,6467051177,Chinese,646,1,False
CHIEF_1_50111909,50111909,CHIEF,TORONTO,13,7323360207,American,732,1,False
CHIENG GARDEN KITCHEN_1_50042074,50042074,CHIENG GARDEN KITCHEN,SCARBOROUGH,183,7184428271,Chinese,718,1,False
CHIFA_1_50122095,50122095,CHIFA,ETOBICOKE,73-20,7188980108,Peruvian,718,1,False
CHIFLEZ_1_50159428,50159428,CHIFLEZ,ETOBICOKE,95-02,7182051385,Latin American,718,1,False
CHIHIRO TEA_2_50124279,50124279,CHIHIRO TEA,TORONTO,552,6463794818,Coffee/Tea,646,2,True
CHIHIRO TEA_2_50152229,50152229,CHIHIRO TEA,RICHMOND HILL,94,6463794818,Other,646,2,True
CHIHUAHUA_1_50042802,50042802,CHIHUAHUA,ETOBICOKE,47-02,3475310954,Mexican,347,1,False
CHIKARASHI_1_50050304,50050304,CHIKARASHI,TORONTO,227,6466495965,Japanese,646,1,False
CHIKILA BAR_1_50117780,50117780,CHIKILA BAR,RICHMOND HILL,231,3472766505,,347,1,False
CHIKO_1_50080194,50080194,CHIKO,RICHMOND HILL,954,9179090580,Japanese,917,1,False
CHIKURIN_4_50018654,50018654,CHIKURIN,RICHMOND HILL,1777,7183381818,Japanese,718,4,True
CHIKURIN_4_50141753,50141753,CHIKURIN,RICHMOND HILL,2362,7183330811,Japanese,718,4,True
CHIKURIN_4_50151140,50151140,CHIKURIN,RICHMOND HILL,1702,7183682000,Other,718,4,True
CHIKURIN_4_50164931,50164931,CHIKURIN,RICHMOND HILL,1702,9177567317,Japanese,917,4,True
CHILANGOS TAQUERIA_1_50164209,50164209,CHILANGOS TAQUERIA,RICHMOND HILL,295,2013886330,,201,1,False
CHILI'S GRILL & BAR_2_40901214,40901214,CHILI'S GRILL & BAR,SCARBOROUGH,1497,7186970883,Tex-Mex,718,2,True
CHILI'S GRILL & BAR_2_41265425,41265425,CHILI'S GRILL & BAR,ETOBICOKE,80-16,7183664272,Tex-Mex,718,2,True
CHILI_1_50159689,50159689,CHILI,TORONTO,13,6468820666,Chinese,646,1,False
CHILL CHICK_1_50161181,50161181,CHILL CHICK,TORONTO,106,6465786977,,646,1,False
CHILL OUT!_1_50143007,50143007,CHILL OUT!,ETOBICOKE,38-27,6469197348,Frozen Desserts,646,1,False
CHILL TAVERN BBQ_1_50165056,50165056,CHILL TAVERN BBQ,ETOBICOKE,137-38,6469079998,,646,1,False
CHILL'D TASTE THAI_1_50113974,50113974,CHILL'D TASTE THAI,ETOBICOKE,167-11,9293860017,Thai,929,1,False
CHILLATO_2_50088740,50088740,CHILLATO,ETOBICOKE,17-16,7184891750,Frozen Desserts,718,2,True
CHILLATO_2_50137553,50137553,CHILLATO,RICHMOND HILL,342,9172829715,,917,2,True
CHILLHOUSE_1_50154581,50154581,CHILLHOUSE,TORONTO,75,3475375742,,347,1,False
CHILO'S_1_50012080,50012080,CHILO'S,RICHMOND HILL,323,9176979921,Tex-Mex,917,1,False
CHILSUNG GARDEN_1_50062457,50062457,CHILSUNG GARDEN,ETOBICOKE,221-28,3478368447,Korean,347,1,False
CHIMAMA'S NOODLE HOUSE_1_50167548,50167548,CHIMAMA'S NOODLE HOUSE,ETOBICOKE,45-37,3472564671,Chinese,347,1,False
CHIMI EXPRESS_1_50069861,50069861,CHIMI EXPRESS,ETOBICOKE,101-17,7184275513,Latin American,718,1,False
CHIMI LOS PRIMOS KITCHEN_1_50160336,50160336,CHIMI LOS PRIMOS KITCHEN,ETOBICOKE,24-26,9294357784,Latin American,929,1,False
CHIMITO'S_1_50111064,50111064,CHIMITO'S,ETOBICOKE,55-02,7182551399,Chimichurri,718,1,False
CHIMOLI COCINA_1_50151369,50151369,CHIMOLI COCINA,NORTH YORK,3398,9174201676,,917,1,False
CHIN THAI_1_50173238,50173238,CHIN THAI,ETOBICOKE,51-20,3474389623,,347,1,False
CHIN UP BAR_1_50179396,50179396,CHIN UP BAR,TORONTO,171,8475448549,,847,1,False
CHINA 1_2_50072972,50072972,CHINA 1,TORONTO,609,2125880663,Chinese,212,2,True
CHINA 1_2_50105665,50105665,CHINA 1,RICHMOND HILL,2851,7186765211,Chinese,718,2,True
CHINA BAR_1_50077419,50077419,CHINA BAR,ETOBICOKE,133-48,7186619818,Bottled Beverages,718,1,False
CHINA BELL_1_50081310,50081310,CHINA BELL,SCARBOROUGH,1068,7188765666,Chinese,718,1,False
CHINA CHALET_1_50106405,50106405,CHINA CHALET,SCARBOROUGH,4326,9172939395,Chinese,917,1,False
CHINA CHEF CHEN_1_50105039,50105039,CHINA CHEF CHEN,RICHMOND HILL,1073,7182878173,Chinese,718,1,False
CHINA CITY II_1_50128716,50128716,CHINA CITY II,RICHMOND HILL,1732,7182342885,Chinese,718,1,False
CHINA CITY RESTAURANT_1_50117158,50117158,CHINA CITY RESTAURANT,NORTH YORK,308,7187418888,Chinese,718,1,False
CHINA CITY_2_50070788,50070788,CHINA CITY,RICHMOND HILL,790,7184986666,Chinese,718,2,True
CHINA CITY_2_50071938,50071938,CHINA CITY,RICHMOND HILL,903,7183023888,Chinese,718,2,True
CHINA COCINA_1_50099190,50099190,CHINA COCINA,ETOBICOKE,103-10,7184763476,Chinese,718,1,False
CHINA DELIGHT_4_50036709,50036709,CHINA DELIGHT,RICHMOND HILL,722,7187880888,Chinese,718,4,True
CHINA DELIGHT_4_50100416,50100416,CHINA DELIGHT,ETOBICOKE,218-82,7184793030,Chinese,718,4,True
CHINA DELIGHT_4_50162131,50162131,CHINA DELIGHT,RICHMOND HILL,4009,9172150750,Chinese,917,4,True
CHINA DELIGHT_4_50172714,50172714,CHINA DELIGHT,ETOBICOKE,99-02,7188988855,Chinese,718,4,True
CHINA DOLL_1_50034342,50034342,CHINA DOLL,RICHMOND HILL,2526,7189751051,Chinese,718,1,False
CHINA DRAGON EXPRESS_1_50004805,50004805,CHINA DRAGON EXPRESS,RICHMOND HILL,3467,7188273258,Chinese,718,1,False
CHINA DRAGON_4_50046281,50046281,CHINA DRAGON,RICHMOND HILL,2182,7188569015,Chinese,718,4,True
CHINA DRAGON_4_50056889,50056889,CHINA DRAGON,RICHMOND HILL,1615,7188568656,Chinese,718,4,True
CHINA DRAGON_4_50102013,50102013,CHINA DRAGON,RICHMOND HILL,4320,9176246620,Chinese,917,4,True
CHINA DRAGON_4_50119580,50119580,CHINA DRAGON,ETOBICOKE,19-44A,9174329588,Chinese,917,4,True
CHINA EXPRESS INN_1_50037950,50037950,CHINA EXPRESS INN,ETOBICOKE,157-15,7189496525,Chinese,718,1,False
CHINA EXPRESS_2_50132315,50132315,CHINA EXPRESS,RICHMOND HILL,4106,7184622779,Chinese,718,2,True
CHINA EXPRESS_2_50135410,50135410,CHINA EXPRESS,RICHMOND HILL,192,9179605718,Chinese,917,2,True
CHINA FUN CHINESE RESTAURANT_1_50005477,50005477,CHINA FUN CHINESE RESTAURANT,ETOBICOKE,95-04,6462060935,Chinese,646,1,False
CHINA FUN II_1_50152165,50152165,CHINA FUN II,ETOBICOKE,47-24,7189818999,Chinese,718,1,False
CHINA FUN_1_50130225,50130225,CHINA FUN,ETOBICOKE,57-33,7187990462,Chinese,718,1,False
CHINA GARDEN 5705 INC._1_50178664,50178664,CHINA GARDEN 5705 INC.,RICHMOND HILL,5705,7186878729,,718,1,False
CHINA GARDEN CHINESE RESTAURANT_1_50117038,50117038,CHINA GARDEN CHINESE RESTAURANT,RICHMOND HILL,130,6465521609,Chinese,646,1,False
CHINA GARDEN RESTAURANT_2_41517801,41517801,CHINA GARDEN RESTAURANT,RICHMOND HILL,1157,7189194476,Chinese,718,2,True
CHINA GARDEN RESTAURANT_2_41641204,41641204,CHINA GARDEN RESTAURANT,RICHMOND HILL,206,7186470520,Chinese,718,2,True
CHINA GARDEN TAKEOUT_1_50071612,50071612,CHINA GARDEN TAKEOUT,RICHMOND HILL,2014,7183339898,Chinese,718,1,False
CHINA GARDEN_4_41403608,41403608,CHINA GARDEN,ETOBICOKE,39-20,7183612129,Chinese,718,4,True
CHINA GARDEN_4_50004812,50004812,CHINA GARDEN,NORTH YORK,1205,7188939323,Chinese,718,4,True
CHINA GARDEN_4_50047547,50047547,CHINA GARDEN,RICHMOND HILL,133,7184182888,Chinese,718,4,True
CHINA GARDEN_4_50159968,50159968,CHINA GARDEN,RICHMOND HILL,679,7188756637,Chinese,718,4,True
CHINA GLATT_1_40400149,40400149,CHINA GLATT,RICHMOND HILL,4413,7184382576,Jewish/Kosher,718,1,False
CHINA GOURMET_2_50125911,50125911,CHINA GOURMET,ETOBICOKE,245-15,9173623698,Chinese,917,2,True
CHINA GOURMET_2_50128687,50128687,CHINA GOURMET,TORONTO,877A,9179841068,Chinese,917,2,True
CHINA HOUSE_3_50141623,50141623,CHINA HOUSE,NORTH YORK,1572,9292589541,Chinese,929,3,True
CHINA HOUSE_3_50149513,50149513,CHINA HOUSE,NORTH YORK,484,9176909265,Chinese,917,3,True
CHINA HOUSE_3_50163430,50163430,CHINA HOUSE,ETOBICOKE,55-01,7188216655,Chinese,718,3,True
CHINA KING 1 RESTAURANT_1_50089472,50089472,CHINA KING 1 RESTAURANT,RICHMOND HILL,2683,7182777113,Chinese,718,1,False
CHINA KING OGDEN RESTAURANT_1_50053660,50053660,CHINA KING OGDEN RESTAURANT,NORTH YORK,1377,7189928888,Chinese,718,1,False
CHINA KING RESTAURANT_1_41505687,41505687,CHINA KING RESTAURANT,NORTH YORK,1254,7188280588,Chinese,718,1,False
CHINA KINGS 70TH STREET_1_50038572,50038572,CHINA KINGS 70TH STREET,ETOBICOKE,70-01,7186348257,Chinese,718,1,False
CHINA KING_9_50001168,50001168,CHINA KING,NORTH YORK,1213,7189946809,Chinese,718,9,True
CHINA KING_9_50041687,50041687,CHINA KING,ETOBICOKE,175-45,7185265400,Chinese,718,9,True
CHINA KING_9_50082836,50082836,CHINA KING,ETOBICOKE,101-19,6462889917,Chinese/Cuban,646,9,True
CHINA KING_9_50107838,50107838,CHINA KING,TORONTO,1759,9175182528,Chinese,917,9,True
CHINA KING_9_50108603,50108603,CHINA KING,TORONTO,2026,2128766688,Chinese,212,9,True
CHINA KING_9_50108836,50108836,CHINA KING,RICHMOND HILL,6805,7182561356,Chinese,718,9,True
CHINA KING_9_50129295,50129295,CHINA KING,ETOBICOKE,222-19,7184796762,Chinese,718,9,True
CHINA KING_9_50143925,50143925,CHINA KING,SCARBOROUGH,14,6462448308,Chinese,646,9,True
CHINA KING_9_50165225,50165225,CHINA KING,TORONTO,2026,2128766688,,212,9,True
CHINA KITCHEN_2_50047532,50047532,CHINA KITCHEN,RICHMOND HILL,3312,9177700591,Chinese,917,2,True
CHINA KITCHEN_2_50070279,50070279,CHINA KITCHEN,NORTH YORK,749,7187981845,Chinese,718,2,True
CHINA LONG_1_50044312,50044312,CHINA LONG,RICHMOND HILL,197,7183325807,Chinese,718,1,False
CHINA MIA_1_50138614,50138614,CHINA MIA,NORTH YORK,2232,6463217871,Chinese,646,1,False
CHINA MOON 168 INC_1_50170309,50170309,CHINA MOON 168 INC,RICHMOND HILL,2567,9173887075,,917,1,False
CHINA MOON OF KINGS_1_50100606,50100606,CHINA MOON OF KINGS,RICHMOND HILL,1068,7187357796,Chinese,718,1,False
CHINA MOON OPEN KITCHEN_1_50072218,50072218,CHINA MOON OPEN KITCHEN,RICHMOND HILL,2567,7184494088,Chinese,718,1,False
CHINA MOON_1_50170573,50170573,CHINA MOON,RICHMOND HILL,1068,9178920706,Other,917,1,False
CHINA NEW STAR RESTAURANT_1_50045054,50045054,CHINA NEW STAR RESTAURANT,SCARBOROUGH,1640,7188155826,Chinese,718,1,False
CHINA NO. 1 CHINESE RESTAURANT_1_50076883,50076883,CHINA NO. 1 CHINESE RESTAURANT,RICHMOND HILL,9602,7184858899,Chinese,718,1,False
CHINA ONE CHINESE RESTAURANT_1_50149868,50149868,CHINA ONE CHINESE RESTAURANT,NORTH YORK,334,7187980109,Chinese,718,1,False
CHINA ONE_1_50127525,50127525,CHINA ONE,ETOBICOKE,106-61,7182628811,Chinese,718,1,False
CHINA PAGODA_2_41469854,41469854,CHINA PAGODA,RICHMOND HILL,6918,7182386184,Chinese,718,2,True
CHINA PAGODA_2_50107021,50107021,CHINA PAGODA,ETOBICOKE,47-20,6467155678,Chinese,646,2,True
CHINA PALACE_1_50117022,50117022,CHINA PALACE,NORTH YORK,3014,6465492755,Chinese,646,1,False
CHINA PANDA_1_50048274,50048274,CHINA PANDA,RICHMOND HILL,351,7186491622,Chinese,718,1,False
CHINA PAVILION RESTAURANT_1_50143297,50143297,CHINA PAVILION RESTAURANT,NORTH YORK,2102,3479355070,Chinese,347,1,False
CHINA RED EXPRESS_1_50145855,50145855,CHINA RED EXPRESS,TORONTO,118,2126083006,Chinese,212,1,False
CHINA RESTAURANT_1_50049689,50049689,CHINA RESTAURANT,RICHMOND HILL,937,7184985108,Chinese,718,1,False
CHINA RIVER_1_50138101,50138101,CHINA RIVER,TORONTO,258,6467670854,Chinese,646,1,False
CHINA ROYAL_1_50099920,50099920,CHINA ROYAL,RICHMOND HILL,1377,9172831605,Chinese,917,1,False
CHINA SING_1_50131100,50131100,CHINA SING,ETOBICOKE,109-16,7186570796,Chinese,718,1,False
CHINA STAR QUEENS CHINESE RESTAURANT_1_50002448,50002448,CHINA STAR QUEENS CHINESE RESTAURANT,ETOBICOKE,105-38,7188357787,Chinese,718,1,False
CHINA STAR_2_50055582,50055582,CHINA STAR,RICHMOND HILL,1370,7186421755,Chinese,718,2,True
CHINA STAR_2_50135974,50135974,CHINA STAR,NORTH YORK,1784,9176370160,Chinese,917,2,True
CHINA SUN_1_41004067,41004067,CHINA SUN,RICHMOND HILL,787,7186472322,Chinese,718,1,False
CHINA TASTES_1_41639191,41639191,CHINA TASTES,RICHMOND HILL,627,7184858555,Chinese,718,1,False
CHINA THAI NY_1_50074674,50074674,CHINA THAI NY,RICHMOND HILL,867,7184696800,Chinese,718,1,False
CHINA TOKYO RESTAURANT_1_41629130,41629130,CHINA TOKYO RESTAURANT,RICHMOND HILL,5908,7185318811,Chinese/Japanese,718,1,False
CHINA WOK EXPRESS_1_50135889,50135889,CHINA WOK EXPRESS,ETOBICOKE,103-15,9175309975,Asian/Asian Fusion,917,1,False
CHINA WOK KING CORP_1_50011045,50011045,CHINA WOK KING CORP,NORTH YORK,512,7182953929,Chinese,718,1,False
CHINA WOK KITCHEN_1_41629135,41629135,CHINA WOK KITCHEN,TORONTO,63,2129799327,Chinese,212,1,False
CHINA WOK STATEN ISLAND INC._1_50171218,50171218,CHINA WOK STATEN ISLAND INC.,SCARBOROUGH,8,6464272793,,646,1,False
CHINA WOK_8_41416889,41416889,CHINA WOK,NORTH YORK,47,7182957256,Chinese,718,8,True
CHINA WOK_8_41627133,41627133,CHINA WOK,NORTH YORK,3431,7186527931,Chinese,718,8,True
CHINA WOK_8_50019234,50019234,CHINA WOK,RICHMOND HILL,869,7187718888,Chinese,718,8,True
CHINA WOK_8_50053608,50053608,CHINA WOK,RICHMOND HILL,888,7186336661,Chinese,718,8,True
CHINA WOK_8_50057493,50057493,CHINA WOK,NORTH YORK,3839,7188288076,Chinese,718,8,True
CHINA WOK_8_50108396,50108396,CHINA WOK,TORONTO,454A,2122814188,Chinese,212,8,True
CHINA WOK_8_50129719,50129719,CHINA WOK,NORTH YORK,1486,9172939233,Chinese,917,8,True
CHINA WOK_8_50162783,50162783,CHINA WOK,RICHMOND HILL,1035,3476519566,Chinese,347,8,True
CHINA XIANG_1_50088970,50088970,CHINA XIANG,TORONTO,360,2129676088,Chinese,212,1,False
CHINA XING KITCHEN_1_50158542,50158542,CHINA XING KITCHEN,ETOBICOKE,243,7183376240,Other,718,1,False
CHINA XING_1_50116769,50116769,CHINA XING,RICHMOND HILL,4419,7186862676,Chinese,718,1,False
CHINANTLA RESTAURANT_1_40727214,40727214,CHINANTLA RESTAURANT,RICHMOND HILL,657,7182221719,Mexican,718,1,False
CHINAR ON THE ISLAND_1_50135955,50135955,CHINAR ON THE ISLAND,SCARBOROUGH,283,7182733700,Mediterranean,718,1,False
CHINATOWN RESTAURANT_1_41555573,41555573,CHINATOWN RESTAURANT,RICHMOND HILL,2306,7188917762,Chinese,718,1,False
CHINATOWN SNACKS_1_50156375,50156375,CHINATOWN SNACKS,TORONTO,357,9178857705,Asian/Asian Fusion,917,1,False
CHINATOWN TAI PAN BAKERY_1_50056561,50056561,CHINATOWN TAI PAN BAKERY,TORONTO,194,2127322222,Bakery Products/Desserts,212,1,False
CHINATO_1_50140235,50140235,CHINATO,TORONTO,108,9394590190,Chinese,939,1,False
CHINELOS II DELI-GROCERY RESTAURANT_1_50045788,50045788,CHINELOS II DELI-GROCERY RESTAURANT,TORONTO,530,2126906077,Mexican,212,1,False
CHINESE FRIED CHICKEN_1_41569069,41569069,CHINESE FRIED CHICKEN,NORTH YORK,,7188422854,Chinese,718,1,False
CHINESE GOURMET_1_41701298,41701298,CHINESE GOURMET,NORTH YORK,1810,7187312120,Chinese,718,1,False
CHINESE MUSICIAN_1_50150250,50150250,CHINESE MUSICIAN,RICHMOND HILL,151,7183832413,Chinese,718,1,False
CHINESE ORIENTAL EXPRESS_1_50161660,50161660,CHINESE ORIENTAL EXPRESS,ETOBICOKE,42-13,7188085199,Chinese,718,1,False
CHINESE SAUERKRAUT FISH_1_50156260,50156260,CHINESE SAUERKRAUT FISH,RICHMOND HILL,774,2156056104,Chinese,215,1,False
CHINESE TUXEDO / PEACHY'S_1_50057988,50057988,CHINESE TUXEDO / PEACHY'S,TORONTO,5,6468959301,Chinese,646,1,False
CHINGALE/ROAM_1_50138703,50138703,CHINGALE/ROAM,TORONTO,50,9178269213,American,917,1,False
CHINGOO RESTAURANT_1_50099171,50099171,CHINGOO RESTAURANT,RICHMOND HILL,373,9179091742,Korean,917,1,False
CHINITO LATINO_1_50076079,50076079,CHINITO LATINO,TORONTO,122,6465903628,Chinese/Cuban,646,1,False
CHINO GRANDE_1_50118399,50118399,CHINO GRANDE,RICHMOND HILL,253,9178336054,Asian/Asian Fusion,917,1,False
CHINTA_1_50148442,50148442,CHINTA,RICHMOND HILL,157,5164480633,Thai,516,1,False
CHIP CITY_19_50081613,50081613,CHIP CITY,ETOBICOKE,30-06,9177450101,Bakery Products/Desserts,917,19,True
CHIP CITY_19_50084876,50084876,CHIP CITY,ETOBICOKE,22-04,9177676656,Bakery Products/Desserts,917,19,True
CHIP CITY_19_50087862,50087862,CHIP CITY,ETOBICOKE,42-15,3478087700,Bakery Products/Desserts,347,19,True
CHIP CITY_19_50099859,50099859,CHIP CITY,TORONTO,298,6468580229,Bakery Products/Desserts,646,19,True
CHIP CITY_19_50106939,50106939,CHIP CITY,RICHMOND HILL,123,3477283860,Coffee/Tea,347,19,True
CHIP CITY_19_50107111,50107111,CHIP CITY,ETOBICOKE,45-05,3478134775,Bakery Products/Desserts,347,19,True
CHIP CITY_19_50109890,50109890,CHIP CITY,RICHMOND HILL,361,3477631114,Bakery Products/Desserts,347,19,True
CHIP CITY_19_50113214,50113214,CHIP CITY,TORONTO,30,9174598377,Bakery Products/Desserts,917,19,True
CHIP CITY_19_50115873,50115873,CHIP CITY,TORONTO,1543,9174598377,Other,917,19,True
CHIP CITY_19_50118083,50118083,CHIP CITY,ETOBICOKE,72-34,7184873166,Bakery Products/Desserts,718,19,True
CHIP CITY_19_50119747,50119747,CHIP CITY,ETOBICOKE,23-96,3478368136,Bakery Products/Desserts,347,19,True
CHIP CITY_19_50127104,50127104,CHIP CITY,TORONTO,370,6466495714,Bakery Products/Desserts,646,19,True
CHIP CITY_19_50133300,50133300,CHIP CITY,TORONTO,325,6467070769,Nuts/Confectionary,646,19,True
CHIP CITY_19_50137356,50137356,CHIP CITY,TORONTO,1371,9174598377,Other,917,19,True
CHIP CITY_19_50143517,50143517,CHIP CITY,NORTH YORK,200,3472016285,Other,347,19,True
CHIP CITY_19_50143916,50143916,CHIP CITY,TORONTO,359,6312036174,Bakery Products/Desserts,631,19,True
CHIP CITY_19_50149392,50149392,CHIP CITY,TORONTO,272,9174598377,Other,917,19,True
CHIP CITY_19_50162363,50162363,CHIP CITY,ETOBICOKE,133-27,9174457551,,917,19,True
CHIP CITY_19_50162364,50162364,CHIP CITY,RICHMOND HILL,192,7189284541,,718,19,True
CHIPICHAPE CAFE_1_50164873,50164873,CHIPICHAPE CAFE,ETOBICOKE,27-16,9292132225,Latin American,929,1,False
CHIPILO ITALIAN SANDWICH SHOP_1_50009877,50009877,CHIPILO ITALIAN SANDWICH SHOP,TORONTO,48,2128048183,Italian,212,1,False
CHIPOTLE MEXCIAN GRILL # 2760_1_50055123,50055123,CHIPOTLE MEXCIAN GRILL # 2760,ETOBICOKE,26-14,7187842706,Tex-Mex,718,1,False
CHIPOTLE MEXICAN GRILL # 3265_1_50085812,50085812,CHIPOTLE MEXICAN GRILL # 3265,RICHMOND HILL,2179,3032222524,Tex-Mex,303,1,False
CHIPOTLE MEXICAN GRILL #2254_1_50051550,50051550,CHIPOTLE MEXICAN GRILL #2254,RICHMOND HILL,185,3477254450,Tex-Mex,347,1,False
CHIPOTLE MEXICAN GRILL #2308_1_50051178,50051178,CHIPOTLE MEXICAN GRILL #2308,SCARBOROUGH,2602,7189801742,Tex-Mex,718,1,False
CHIPOTLE MEXICAN GRILL #2407_1_50036552,50036552,CHIPOTLE MEXICAN GRILL #2407,RICHMOND HILL,1325,7183392197,Mexican,718,1,False
